[21/10/2023 - 01:19:45] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[21/10/2023 - 01:29:39] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 01:40:11] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.66 Safari/537.36
[21/10/2023 - 01:52:18] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 02:19:34] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.134 Safari/537.36
[21/10/2023 - 02:30:59] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36
[21/10/2023 - 02:39:27] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 02:49:42] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5042.0 Safari/537.36
[21/10/2023 - 03:20:05] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 03:29:17] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 04:20:22] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
[21/10/2023 - 04:29:40] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[21/10/2023 - 05:30:38] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.53 Safari/537.36
[21/10/2023 - 05:40:09] -> [Blocked IP:- GET] 185.234.216.114 - Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36
